"Story ID,Prediction,Rationale"
"95,1,Consistent: Strong evidence supports backstory"
"136,0,Contradicts: Clear contradictions found"
"59,1,Consistent: Moderate evidence supports backstory"
"60,1,Consistent: Strong evidence supports backstory"
"124,1,Consistent: Moderate evidence supports backstory"
"111,1,Consistent: Strong evidence supports backstory"
"135,0,Contradicts: Clear contradictions found"
"27,1,Consistent: Moderate evidence supports backstory"
"110,1,Consistent: Strong evidence supports backstory"
"42,1,Consistent: Moderate evidence supports backstory"
"56,1,Consistent: Strong evidence supports backstory"
"80,1,Consistent: Moderate evidence supports backstory"
"28,1,Consistent: Strong evidence supports backstory"
"101,1,Consistent: Moderate evidence supports backstory"
"91,1,Consistent: Strong evidence supports backstory"
"24,1,Consistent: Moderate evidence supports backstory"
"119,1,Consistent: Strong evidence supports backstory"
"93,1,Consistent: Moderate evidence supports backstory"
"72,1,Consistent: Moderate evidence supports backstory"
"16,0,Contradicts: Clear contradictions found"
"30,1,Consistent: Moderate evidence supports backstory"
"97,1,Consistent: Strong evidence supports backstory"
"22,1,Consistent: Moderate evidence supports backstory"
"53,1,Consistent: Strong evidence supports backstory"
"58,1,Consistent: Moderate evidence supports backstory"
"81,1,Consistent: Strong evidence supports backstory"
"47,1,Consistent: Moderate evidence supports backstory"
"7,1,Consistent: Moderate evidence supports backstory"
"121,1,Consistent: Moderate evidence supports backstory"
"129,1,Consistent: Moderate evidence supports backstory"
"51,1,Consistent: Moderate evidence supports backstory"
"127,1,Consistent: Strong evidence supports backstory"
"133,1,Consistent: Moderate evidence supports backstory"
"52,1,Consistent: Strong evidence supports backstory"
"114,1,Consistent: Moderate evidence supports backstory"
"2,1,Consistent: Moderate evidence supports backstory"
"33,1,Consistent: Moderate evidence supports backstory"
"15,1,Consistent: Moderate evidence supports backstory"
"82,1,Consistent: Moderate evidence supports backstory"
"37,1,Consistent: Strong evidence supports backstory"
"3,1,Consistent: Moderate evidence supports backstory"
"103,1,Consistent: Moderate evidence supports backstory"
"94,1,Consistent: Moderate evidence supports backstory"
"85,1,Consistent: Moderate evidence supports backstory"
"21,1,Consistent: Moderate evidence supports backstory"
"49,1,Consistent: Moderate evidence supports backstory"
"140,1,Consistent: Moderate evidence supports backstory"
"64,1,Consistent: Moderate evidence supports backstory"
"131,1,Consistent: Strong evidence supports backstory"
"61,1,Consistent: Moderate evidence supports backstory"
"86,1,Consistent: Moderate evidence supports backstory"
"38,1,Consistent: Moderate evidence supports backstory"
"132,1,Consistent: Strong evidence supports backstory"
"77,1,Consistent: Moderate evidence supports backstory"
"70,0,Contradicts: Clear contradictions found"
"115,1,Consistent: Moderate evidence supports backstory"
"78,1,Consistent: Moderate evidence supports backstory"
"87,1,Consistent: Strong evidence supports backstory"
"75,1,Consistent: Moderate evidence supports backstory"
"44,1,Consistent: Moderate evidence supports backstory"
